frame_index,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle,dy,dx,fx,fy,in_bridge,x_nucleus,y_nucleus
0,106.77065782946404,204.54792770467557,199283.96487045567,1.986217623070082,0.0073449664382815,14863.67749183856,1526592.0,0.0773892919385752,0,2,-0.0055255611866869,0.0585730025262591,0.06504818747504895,-0.0018847491567964595,False,281.1297040190259,70.69426624298019
0,104.50555939826256,227.4132115313712,148146.08893321754,1.7101782624659605,0.0894706391577647,13494.090298646404,1216297.0,0.1178920576752889,0,3,0.0,0.0,0.0,0.0,False,281.1297040190259,70.69426624298019
0,103.77111155011194,189.423712630054,137103.17149516224,2.018559350553141,0.2226493889319733,9087.847519230234,1354309.0,0.0956310506776007,0,4,-0.1195808654163386,-0.0061813234341343,-0.002230032393666427,-0.18974987885331487,False,281.1297040190259,70.69426624298019
0,103.12060002152587,140.66478190023503,180348.09025607703,2.000364154783816,0.176861876990243,12775.440723312877,1256825.0,0.1103489158638136,0,5,-0.0840784600473369,0.009374167634661,0.004164741423091624,-0.11187063214950693,False,281.1297040190259,70.69426624298019
0,95.79800612255907,152.1132100280505,133892.72188475268,1.6659007212543742,0.0353654236125344,11821.153535966723,1109425.0,0.1438159362882474,0,10,0.0771536573936799,0.022155602231777,0.015132626335835921,0.09833853778660605,False,281.1297040190259,70.69426624298019
0,94.09638855300284,169.97539701733172,55997.78883173606,1.6506127256301195,0.1661114270894251,4935.750286869828,640626.0,4.0602823039045655,0,11,0.0244506540785351,0.2228976446413639,0.48288886169202305,0.017543841345567704,False,281.1297040190259,70.69426624298019
0,92.4889518303684,194.0674918035967,69806.96543916564,1.5449917691490935,0.1231297325418703,7395.499995407755,709909.0,0.8080737384074234,0,13,0.0,0.0,0.0,0.0,False,281.1297040190259,70.69426624298019
0,90.59668370576692,245.47274007722984,114095.55117129348,1.946264701234068,0.1797873368083538,8693.763926726358,1082943.0,0.15210379473367,0,16,-0.0579468726246688,-0.0122314133689656,-0.006207317140424685,-0.06400795799460925,False,281.1297040190259,70.69426624298019
0,88.37611026383581,126.89954932570214,79029.33404724598,1.6781793598958152,0.1565615560256857,7273.1670589031155,582626.0,-1.7137670377116054,0,17,-0.0470521121470284,-0.0380216446066583,-0.03402007888348441,-0.046833612073263996,False,281.1297040190259,70.69426624298019
0,86.56025556782754,206.92735610328967,161441.10607688778,2.0072874628023336,0.1161262009768466,12469.382675526364,1103720.0,0.1455241500434145,0,18,0.0,0.0,0.0,0.0,False,281.1297040190259,70.69426624298019
0,80.71910730946875,231.2944708125431,155788.96327993358,1.840335430096435,0.1371512385443218,12145.268105746543,939170.0,0.2213605384059581,0,22,-0.2886685825050676,-0.2896662927771274,-0.7153785446996672,-0.7116857147343558,False,281.1297040190259,70.69426624298019
0,92.36832157608303,182.56380879320025,81204.24212133953,1.631600262958301,0.194104552141889,8185.924245664666,744056.0,0.5793583825669073,0,29,0.025636819897258,0.1700564824369053,0.3217946033526263,0.018835848892359754,False,281.1297040190259,70.69426624298019
0,109.31558258041989,180.01881738029766,165477.1901554412,1.7812957643170355,0.0355061172728469,13284.634643524068,1384696.0,0.091813896907491,0,30,-0.0258045617529916,0.1317203503064377,0.21936547894465028,-0.01902101555264126,False,281.1297040190259,70.69426624298019
0,136.7917602091111,205.00527229596088,70978.83371653111,1.6403244834630404,0.102682158763652,6761.716073442761,1163700.0,0.1293688267342992,0,34,-0.262236487061358,-0.1427437941775053,-0.24747129075355884,-0.6162098650347995,False,281.1297040190259,70.69426624298019
0,135.72569896525732,122.00196155691084,52699.76508965897,2.157165084219476,0.2961659456394451,3279.967220083791,971488.0,0.2008077981074158,0,35,0.781864541736951,-0.8409089835321026,-3.5384450634138007,3.1723876170578955,False,281.1297040190259,70.69426624298019
0,134.96910966606364,267.37887595951696,184655.0221645301,1.883065858209187,0.2086959532767404,14147.736394804033,1548590.0,0.075549204551676,0,37,0.028276250980042,0.0151872448984136,0.008588305078547487,0.02181834028340132,False,281.1297040190259,70.69426624298019
0,130.33141822125313,165.4233493695128,78256.06349288272,1.9216187818392552,0.1479700408884221,6988.776837508567,1092973.0,0.1488548051266996,0,45,0.0996095518200377,0.1192551074328776,0.1889750422396399,0.14425817982630793,False,281.1297040190259,70.69426624298019
0,129.7895994015303,112.30956370333752,103185.34916988896,1.6295152498297032,0.0924382892183938,9755.487419932671,757714.0,0.5204401539148031,0,46,0.0270654965502501,-0.0660626580188505,-0.07791535151166284,0.020432098230887194,False,281.1297040190259,70.69426624298019
0,126.98280468147732,153.0986362043591,161030.32020154007,1.765760106368159,0.2769790556332417,14698.460315599825,1267228.0,0.1085658621098819,0,48,0.0,0.0,0.0,0.0,False,281.1297040190259,70.69426624298019
0,119.62246648230476,123.4679000245038,103164.13275654682,2.0718531195958665,0.2666821173673157,6212.346391796467,815192.0,0.364460640748824,0,60,0.0280253618705046,0.0620859027223588,0.07098694222354918,0.021528601188481846,False,281.1297040190259,70.69426624298019
0,116.91445214868378,173.2150156928447,180791.3778710127,1.9582242238202132,0.2711162129459023,12802.976919352666,1412199.0,0.0886125822466802,0,61,-0.0402945793158409,-0.0409806765427447,-0.03806778912014105,-0.03711580703115367,False,281.1297040190259,70.69426624298019
0,112.01030691380323,238.08922146246363,188940.73765964093,1.9284409611354365,0.2132192948465591,13552.32258207481,1502398.0,0.0795194226260528,0,64,-0.1205264493007405,0.0399255162032261,0.036607053923709075,-0.19200498872966643,False,281.1297040190259,70.69426624298019
